Time Pressure Temperature AccX AccY AccZ GyroX GyroY GyroZ
62444 97563.95 46.74 0.07 -0.85 -0.52 1.36 2.23 -0.48
62600 97566.00 46.74 0.07 -0.85 -0.52 1.32 2.37 -0.56
62756 97564.60 46.75 0.07 -0.85 -0.52 1.37 2.28 -0.38
62912 97564.48 46.75 0.07 -0.85 -0.52 1.40 2.32 -0.53
63069 97564.38 46.76 0.07 -0.85 -0.53 1.24 2.63 -0.58
63224 97564.79 46.76 0.07 -0.85 -0.53 1.56 2.31 -0.51
63380 97564.97 46.76 0.07 -0.85 -0.52 1.30 2.44 -0.57
63536 97563.99 46.76 0.07 -0.85 -0.52 1.51 2.29 -0.39
63692 97565.10 46.77 0.07 -0.85 -0.52 1.49 2.67 -0.49
63850 97563.91 46.77 0.07 -0.85 -0.52 1.45 2.07 -0.54
64006 97563.33 46.77 0.07 -0.85 -0.52 1.35 2.29 -0.49
64162 97564.06 46.78 0.07 -0.85 -0.52 1.49 2.38 -0.62
64318 97564.61 46.78 0.07 -0.85 -0.52 1.40 2.22 -0.60
64475 97562.78 46.78 0.07 -0.85 -0.52 1.50 2.29 -0.52
64630 97563.86 46.79 0.07 -0.85 -0.52 1.45 2.21 -0.62
64786 97565.14 46.79 0.07 -0.85 -0.52 1.22 2.31 -0.66
64942 97564.80 46.79 0.07 -0.85 -0.52 1.41 2.38 -0.54
65099 97565.20 46.79 0.07 -0.85 -0.52 1.46 2.49 -0.58
65257 97567.70 46.80 0.07 -0.85 -0.52 1.35 2.29 -0.52
65412 97564.77 46.80 0.07 -0.85 -0.52 1.50 2.57 -0.67
65568 97565.16 46.81 0.07 -0.85 -0.52 1.20 2.28 -0.44
65724 97564.98 46.81 0.07 -0.85 -0.52 1.36 2.30 -0.40
65880 97562.16 46.81 0.07 -0.85 -0.52 1.37 2.38 -0.52
66036 97564.55 46.81 0.07 -0.85 -0.52 1.40 2.44 -0.53
66192 97566.72 46.82 0.06 -0.87 -0.53 2.83 5.36 0.27
66349 97565.55 46.82 0.06 -0.86 -0.42 -5.30 6.64 8.00
66505 97565.60 46.82 -0.00 -0.85 -0.51 -0.15 33.22 13.99
66661 97562.87 46.82 0.12 -0.76 -0.65 9.45 5.43 3.16
66819 97561.61 46.83 0.01 -0.85 -0.40 50.20 5.00 18.71
66975 97564.20 46.83 -0.05 -1.07 -0.05 -12.97 -32.26 -14.70
67132 97564.82 46.83 -0.04 -0.79 -0.61 -26.58 14.73 0.36
67288 97564.82 46.83 0.12 -0.83 -0.59 15.59 3.64 -7.03
67444 97560.89 46.83 0.12 -1.06 -0.05 0.37 -35.21 -10.18
67599 97563.37 46.84 0.01 -0.91 -0.44 -22.69 5.50 1.78
67756 97563.30 46.84 -0.03 -0.88 -0.44 2.86 -6.42 -16.15
67911 97564.16 46.84 0.05 -0.94 -0.36 7.16 18.15 5.48
68068 97564.05 46.85 0.02 -0.98 -0.30 -4.68 17.04 12.87
68226 97563.36 46.85 -0.05 -0.89 -0.46 -1.63 -1.00 1.05
68382 97562.64 46.85 0.03 -0.89 -0.43 9.52 4.93 -2.04
68538 97566.28 46.86 0.06 -0.91 -0.40 2.26 6.92 -0.53
68693 97563.75 46.86 0.03 -0.91 -0.41 -1.49 5.54 3.98
68850 97562.44 46.86 -0.00 -0.88 -0.45 5.88 8.54 4.65
69006 97564.03 46.86 0.02 -0.90 -0.43 5.23 0.96 -3.33
69162 97561.92 46.86 0.03 -0.92 -0.39 -0.44 3.00 -0.36
69317 97562.72 46.87 0.01 -0.90 -0.42 2.51 -0.46 -1.64
69473 97563.66 46.87 0.01 -0.91 -0.41 3.28 2.10 -1.43
